ORIG_FID	CS	RSLR	TR	WH	WETpx	WET96px	NDVI	NDMI	WET	logWET	PCT	logPCT	HUC4	region
892	-0.234581126736102	1.0788539057057	-0.584226084689472	-0.758142288603691	0.411579218608263	-0.483161792241573	1.40227412709185	1.40227412709185	10.08	2.31055326264322	0.067065868263473	-2.70208003411571	10	10
895	-0.250875014817431	1.0788539057057	-0.584226084689472	-0.758142288603691	0.0276203471461892	-1.24057227298181	1.17461032433099	1.17461032433099	4.95	1.5993875765806	0.236051502145923	-1.44370526833323	10	10
889	-1.4131723646189	1.0788539057057	-0.584226084689472	-0.758142288603691	-0.235088354380493	-1.28063016897086	0.797083269244648	0.797083269244648	1.44	0.364643113587909	0.101910828025478	-2.28365708310853	10	10
896	-0.250875014817431	1.0788539057057	-0.584226084689472	-0.758142288603691	0.788801969518371	0.384407902468544	0.0138305358419326	0.0138305358419326	15.12	2.71601837075139	0.050663449939686	-2.98255053685193	10	10
890	-0.26716890289876	1.0788539057057	-0.584226084689472	-0.758142288603691	0.0276203471461892	-0.51373229181216	-0.0781648984351501	-0.0781648984351501	4.95	1.5993875765806	0.034119106699752	-3.3778977378341	10	10
1144	-0.402951303576502	0.721287681162807	-0.639932569519206	-0.173903772385898	-0.262032836588358	1.06855459975514	0.261711399190848	0.261711399190848	1.08	0.076961041136128	0.00260078023407	-5.9519437889457	10	10
1146	-0.522439816172915	0.730697318650778	-0.560351876905301	-0.173903772385898	-0.248560595484425	1.69735815126739	-0.108462310464633	-0.108462310464633	1.26	0.231111720963387	0.002410883416566	-6.02776203575679	10	10
1147	-0.614771848633779	0.746749053189081	-0.425064699461662	-0.173903772385898	-0.235088354380493	2.39520886560286	0.0167171352783007	0.0167171352783007	1.44	0.364643113587909	0.002243724582807	-6.09961803378852	10	10
1152	-0.560458888362682	0.746749053189081	-0.425064699461662	0.994573260049688	-0.302449559900155	2.19650061839405	0.512386980240534	0.512386980240534	0.54	-0.616186139423817	0.00088836245188	-7.02613073171746	10	10
1154	-0.473558151928928	0.786601635491075	-0.425064699461662	0.410334743831894	-0.262032836588358	0.727535406269446	0.104920311122526	0.104920311122526	1.08	0.076961041136128	0.00302495588606	-5.80085877072633	10	10
1156	-0.457264263847598	0.802099861941851	-0.425064699461662	0.410334743831894	-0.302449559900155	0.0808112170778832	-0.290173280889878	-0.290173280889878	0.54	-0.616186139423817	0.002189781021898	-6.12395373015406	10	10
970	-0.43010778371205	0.802099861941851	-0.425064699461662	0.994573260049688	-0.181199389964763	1.46438986143636	-0.0406078900219635	-0.0406078900219635	2.16	0.770108221696074	0.004473438956198	-5.40959782471685	10	10
