param	mean	sd	2.5%	50%	97.5%	Rhat
logWET.p[164]	0.19	1.84	-3.45	0.19	3.89	1
logWET.p[165]	0.31	1.84	-3.33	0.3	4.01	1
logWET.p[166]	0.3	1.84	-3.31	0.28	4.02	1
logWET.p[167]	0.29	1.84	-3.35	0.28	3.98	1
logWET.p[168]	0.34	1.83	-3.28	0.33	4.02	1
logWET.p[169]	0.34	1.85	-3.3	0.33	4.06	1
logWET.p[170]	0.34	1.84	-3.31	0.33	4.02	1
logWET.p[171]	0.34	1.84	-3.31	0.33	4.03	1
logWET.p[172]	0.33	1.84	-3.3	0.33	4.02	1
logWET.p[173]	0.34	1.84	-3.3	0.34	4.05	1
logWET.p[174]	0.33	1.84	-3.33	0.32	4.04	1
logWET.p[175]	0.3	1.84	-3.36	0.29	4.01	1
logWET.p[176]	0.15	1.85	-3.55	0.16	3.82	1
logWET.p[177]	0.89	1.84	-2.69	0.86	4.66	1
logWET.p[178]	0.88	1.83	-2.7	0.86	4.59	1
logWET.p[179]	0.88	1.85	-2.74	0.87	4.63	1
logWET.p[180]	1.03	1.84	-2.58	1.01	4.75	1
logWET.p[181]	0.94	1.85	-2.73	0.93	4.68	1
logWET.p[182]	1.11	1.84	-2.47	1.09	4.83	1
logWET.p[183]	1.12	1.84	-2.49	1.1	4.85	1
logWET.p[184]	1.07	1.84	-2.55	1.05	4.79	1
logWET.p[185]	1.05	1.84	-2.55	1.04	4.78	1
logWET.p[186]	1.04	1.85	-2.58	1.02	4.82	1
logWET.p[187]	3.43	1.85	-0.14	3.4	7.22	1
logWET.p[188]	3.42	1.86	-0.17	3.38	7.22	1
logWET.p[189]	3.42	1.85	-0.17	3.38	7.22	1
logWET.p[190]	3.43	1.85	-0.16	3.39	7.21	1
logWET.p[191]	3.36	1.86	-0.22	3.32	7.16	1
logWET.p[192]	3.22	1.84	-0.4	3.21	6.98	1
logWET.p[193]	3.22	1.85	-0.41	3.2	6.93	1
logWET.p[194]	3.28	1.86	-0.35	3.25	7.05	1
logWET.p[195]	3.31	1.86	-0.31	3.27	7.07	1
logWET.p[196]	3.23	1.85	-0.4	3.22	6.96	1
logWET.p[197]	3.15	1.85	-0.52	3.14	6.89	1
logWET.p[198]	3.22	1.85	-0.43	3.19	6.95	1
logWET.p[199]	3.17	1.85	-0.46	3.15	6.9	1
logWET.p[200]	3.22	1.85	-0.41	3.21	6.95	1
logWET.p[201]	3.24	1.85	-0.39	3.24	6.98	1
logWET.p[202]	3.24	1.85	-0.39	3.23	6.97	1
logWET.p[203]	3.25	1.85	-0.38	3.23	6.99	1
logWET.p[204]	3.27	1.85	-0.35	3.25	7	1
logWET.p[205]	3.28	1.85	-0.35	3.26	7.04	1
logWET.p[206]	3.26	1.85	-0.36	3.25	7.01	1
logWET.p[207]	3.43	1.86	-0.16	3.39	7.2	1
logWET.p[208]	3.42	1.85	-0.13	3.39	7.2	1
logWET.p[209]	3.41	1.86	-0.18	3.38	7.22	1
logWET.p[210]	3.41	1.86	-0.19	3.37	7.25	1
logWET.p[211]	1.06	1.85	-2.58	1.04	4.83	1
logWET.p[212]	1.17	1.84	-2.41	1.14	4.95	1
logWET.p[213]	1.06	1.85	-2.56	1.04	4.83	1
logWET.p[214]	1.07	1.85	-2.54	1.04	4.8	1
logWET.p[215]	1.06	1.85	-2.54	1.04	4.81	1
logWET.p[216]	1.07	1.84	-2.54	1.05	4.8	1
logWET.p[217]	1.18	1.84	-2.38	1.14	4.97	1
logWET.p[218]	1.18	1.84	-2.4	1.16	4.92	1
logWET.p[219]	1.17	1.85	-2.39	1.14	4.93	1
logWET.p[220]	1.18	1.85	-2.38	1.14	5	1
logWET.p[221]	0.98	1.84	-2.57	0.95	4.75	1
logWET.p[222]	1.1	1.85	-2.46	1.06	4.91	1
logWET.p[223]	1.1	1.85	-2.48	1.06	4.89	1
logWET.p[224]	1.06	1.85	-2.54	1.02	4.85	1
logWET.p[225]	1.06	1.85	-2.5	1.02	4.87	1
logWET.p[226]	1	1.84	-2.58	0.97	4.77	1
logWET.p[227]	0.99	1.84	-2.58	0.97	4.75	1
logWET.p[228]	0.98	1.84	-2.58	0.95	4.76	1
logWET.p[229]	1	1.85	-2.56	0.97	4.77	1
logWET.p[230]	1.95	1.99	-1.88	1.91	6.01	1
logWET.p[231]	1.06	1.84	-2.53	1.04	4.82	1
logWET.p[232]	1.09	1.85	-2.47	1.05	4.88	1
logWET.p[233]	1.11	1.84	-2.47	1.08	4.87	1
logWET.p[234]	1.11	1.84	-2.44	1.06	4.86	1
logWET.p[235]	0.62	1.93	-3.2	0.62	4.46	1
logWET.p[236]	2.02	1.93	-1.75	2	5.92	1
logWET.p[237]	2.05	1.93	-1.68	2.02	5.96	1
logWET.p[238]	1.21	1.86	-2.36	1.16	5.03	1
logWET.p[239]	1.41	1.85	-2.19	1.4	5.18	1
logWET.p[240]	1.42	1.85	-2.17	1.4	5.17	1
logWET.p[241]	2.09	1.93	-1.63	2.06	6.01	1
logWET.p[242]	2.07	1.93	-1.69	2.04	5.99	1
logWET.p[243]	1.41	1.84	-2.16	1.39	5.17	1
logWET.p[244]	0.95	1.84	-2.66	0.94	4.66	1
logWET.p[245]	1.47	1.85	-2.14	1.43	5.23	1
logWET.p[246]	1.51	1.84	-2.07	1.47	5.26	1
logWET.p[247]	1.53	1.84	-2.05	1.5	5.29	1
logWET.p[248]	1.53	1.85	-2.05	1.5	5.28	1
logWET.p[249]	0.96	1.85	-2.63	0.94	4.72	1
logWET.p[250]	1.53	1.85	-2.04	1.5	5.31	1
logWET.p[251]	1.53	1.85	-2.07	1.48	5.31	1
logWET.p[252]	1.54	1.85	-2.03	1.5	5.35	1
